cluster_size,total,correct,failed,success_rate_pct
1,17,0,17,0.0
2,26,3,23,11.538461538461538
3,52,27,25,51.92307692307693
4,120,78,42,65.0
5,226,173,53,76.54867256637168
6,364,304,60,83.51648351648352
7,647,576,71,89.02627511591963
8,908,844,64,92.95154185022027
9,1342,1246,96,92.84649776453055
10,1862,1768,94,94.95166487647691
11,2370,2283,87,96.32911392405063
12,2993,2871,122,95.92382225192115
13,3591,3488,103,97.13171818434975
14,4311,4196,115,97.3324054743679
15,4793,4668,125,97.39203004381389
16,5193,5097,96,98.15135759676488
17,5759,5631,128,97.77739190831741
18,6042,5921,121,97.99735187024164
19,6168,6049,119,98.07068741893644
20,6230,6116,114,98.1701444622793
21,6151,6035,116,98.11412778410015
22,5833,5718,115,98.02845876907251
23,5591,5481,110,98.03255231622249
24,5238,5131,107,97.95723558610156
25,4865,4775,90,98.15005138746146
26,4321,4245,76,98.24114788243462
27,3967,3874,93,97.6556591883035
28,3418,3355,63,98.15681685196022
29,2959,2902,57,98.07367353835755
30,2607,2557,50,98.08208668968163
31,2177,2125,52,97.61139182361048
32,1837,1789,48,97.38704409363092
33,1630,1600,30,98.15950920245399
34,1194,1150,44,96.31490787269682
35,1014,958,56,94.47731755424064
36,865,840,25,97.10982658959537
37,675,643,32,95.25925925925925
38,571,546,25,95.6217162872154
39,435,409,26,94.02298850574712
40,353,329,24,93.20113314447592
41,274,251,23,91.6058394160584
42,201,179,22,89.05472636815921
43,147,136,11,92.51700680272108
44,118,104,14,88.13559322033898
45,112,91,21,81.25
46,77,64,13,83.11688311688312
47,68,59,9,86.76470588235294
48,45,33,12,73.33333333333333
49,35,27,8,77.14285714285715
50,27,19,8,70.37037037037037
51,34,18,16,52.94117647058824
52,20,13,7,65.0
53,11,5,6,45.45454545454545
54,15,8,7,53.333333333333336
55,12,6,6,50.0
56,10,6,4,60.0
57,9,3,6,33.33333333333333
58,9,5,4,55.55555555555556
59,4,0,4,0.0
60,2,0,2,0.0
61,4,0,4,0.0
62,8,3,5,37.5
63,3,2,1,66.66666666666666
64,1,0,1,0.0
66,4,3,1,75.0
67,1,0,1,0.0
68,3,0,3,0.0
69,1,0,1,0.0
73,1,1,0,100.0
78,1,0,1,0.0
81,1,0,1,0.0
86,1,0,1,0.0
450,1,0,1,0.0
630,1,0,1,0.0
