idx,edit_dist,len_match,num_sub,pred_len,label_len,cluster_size,confidence
132,3,True,21,128,128,16,0.8653742074966431
135,6,True,8,128,128,16,0.861896276473999
166,7,True,22,128,128,11,0.7966415882110596
192,2,True,51,128,128,10,0.9203761219978333
206,1,True,1,128,128,16,0.9199373722076416
324,3,True,3,128,128,14,0.8937398791313171
348,1,True,1,128,128,16,0.9174915552139282
374,2,True,51,128,128,12,0.8699092268943787
386,1,True,1,128,128,16,0.9187448024749756
414,1,True,1,128,128,16,0.9195988178253174
449,1,True,1,128,128,15,0.9178750514984131
483,2,True,2,128,128,8,0.8881276845932007
499,2,True,41,128,128,13,0.9074078798294067
530,1,True,1,128,128,16,0.9200934767723083
638,2,True,2,128,128,16,0.7391049265861511
686,1,True,1,128,128,16,0.9198582172393799
690,1,True,1,128,128,16,0.9179636240005493
696,2,True,2,128,128,14,0.9209218621253967
699,6,True,29,128,128,16,0.8036103248596191
738,1,True,1,128,128,16,0.9193649291992188
896,2,True,2,128,128,16,0.9205617904663086
927,2,True,20,128,128,16,0.9109083414077759
933,2,True,33,128,128,16,0.87000972032547
943,1,True,1,128,128,8,0.9067246913909912
964,30,True,36,128,128,16,0.6242197751998901
1032,2,True,2,128,128,10,0.9155507683753967
1070,60,True,86,128,128,16,0.9211853742599487
1077,2,True,29,128,128,16,0.916619598865509
1091,52,True,77,128,128,16,0.6600974798202515
1218,1,True,1,128,128,16,0.9152207374572754
1230,2,True,22,128,128,16,0.8839890956878662
1249,2,True,61,128,128,16,0.9202767610549927
1269,2,True,29,128,128,14,0.9170359969139099
1293,1,True,1,128,128,16,0.9019591212272644
1303,2,True,2,128,128,15,0.9204132556915283
1388,1,True,1,128,128,16,0.9170238375663757
1414,1,True,1,128,128,16,0.9144439101219177
1450,2,True,25,128,128,16,0.9039117693901062
1462,11,True,17,128,128,16,0.6989551782608032
1517,1,True,1,128,128,16,0.9206326007843018
1523,3,True,59,128,128,16,0.7703116536140442
1535,2,True,17,128,128,16,0.908702552318573
1628,2,True,27,128,128,16,0.9208093881607056
1696,1,True,1,128,128,9,0.9202616810798645
1718,1,True,1,128,128,8,0.919944703578949
1749,1,True,1,128,128,13,0.9198724031448364
1755,3,True,23,128,128,16,0.8919290900230408
1785,28,True,39,128,128,16,0.6831403374671936
1825,1,True,1,128,128,14,0.9190471172332764
1863,1,True,1,128,128,16,0.9176685810089111
1874,22,True,28,128,128,16,0.6649221181869507
1884,4,True,7,128,128,16,0.8240031003952026
1900,2,True,24,128,128,16,0.9214507937431335
1945,2,True,53,128,128,16,0.9133505821228027
1967,1,True,1,128,128,16,0.9209484457969666
1970,1,True,1,128,128,12,0.9201596975326538
1982,2,True,25,128,128,15,0.9217662811279297
2079,14,True,60,128,128,16,0.6947067975997925
2133,2,True,40,128,128,15,0.8970969915390015
2150,1,True,1,128,128,16,0.8226426243782043
2320,1,True,1,128,128,10,0.9172013401985168
2327,1,True,1,128,128,11,0.9132986068725586
2406,1,True,1,128,128,16,0.9184343814849854
2419,1,True,1,128,128,16,0.9198664426803589
2425,1,True,1,128,128,16,0.8988146781921387
2435,1,True,1,128,128,16,0.9204502701759338
2528,1,True,1,128,128,16,0.917984664440155
2699,2,True,2,128,128,16,0.9205178618431091
2700,1,True,1,128,128,15,0.9204246997833252
2742,1,True,1,128,128,16,0.9204980731010437
2757,1,True,1,128,128,16,0.9189630150794983
2768,1,True,1,128,128,15,0.91147780418396
2777,1,True,1,128,128,16,0.9205998182296753
2810,2,True,54,128,128,8,0.8902745246887207
2927,2,True,26,128,128,13,0.8557854890823364
2945,1,True,1,128,128,16,0.9151700735092163
2988,1,True,1,128,128,16,0.9180914163589478
3042,2,True,7,128,128,9,0.9163500070571899
3100,1,True,1,128,128,11,0.9189201593399048
3148,1,True,1,128,128,16,0.9201856255531311
3153,1,True,1,128,128,5,0.9177680611610413
3154,1,True,1,128,128,16,0.9195731282234192
3210,7,True,38,128,128,7,0.7673800587654114
3229,2,True,54,128,128,9,0.9167642593383789
3254,61,True,93,128,128,16,0.8525944948196411
3273,1,True,1,128,128,16,0.918784499168396
3289,2,True,67,128,128,14,0.9023222923278809
3295,1,True,1,128,128,4,0.9077408313751221
3350,2,True,64,128,128,15,0.921244204044342
3353,1,True,1,128,128,13,0.8571639060974121
3370,2,True,54,128,128,16,0.8970314264297485
3422,1,True,1,128,128,16,0.8952455520629883
3509,7,True,26,128,128,8,0.7899322509765625
3571,61,True,83,128,128,16,0.8172393441200256
3589,51,True,69,128,128,16,0.632640540599823
3597,1,True,1,128,128,16,0.9199199676513672
3674,1,True,1,128,128,16,0.9102192521095276
3676,1,True,1,128,128,16,0.9182294607162476
3703,2,True,17,128,128,16,0.906046986579895
3724,2,True,3,128,128,11,0.8181071877479553
3822,1,True,1,128,128,14,0.9209821820259094
3853,2,True,2,128,128,14,0.9201484322547913
3864,1,True,1,128,128,16,0.9199018478393555
3880,2,True,4,128,128,10,0.9125962853431702
3884,2,True,14,128,128,16,0.9158899188041687
3898,2,True,20,128,128,16,0.9146520495414734
3900,61,True,88,128,128,16,0.8964360356330872
3946,1,True,1,128,128,16,0.9193419814109802
3948,1,True,1,128,128,4,0.9170577526092529
4050,3,True,4,128,128,16,0.8968847393989563
4111,8,True,58,128,128,16,0.6632592678070068
4271,2,True,7,128,128,9,0.8523960709571838
4304,12,True,24,128,128,16,0.7363836765289307
4354,1,True,1,128,128,9,0.9199345707893372
4371,2,True,29,128,128,16,0.9178165793418884
4404,2,True,72,128,128,16,0.9178766012191772
4406,56,True,73,128,128,16,0.6568118929862976
4561,1,True,1,128,128,16,0.9204153418540955
4645,1,True,1,128,128,11,0.9193439483642578
4693,59,True,86,128,128,16,0.749075710773468
4701,2,True,6,128,128,16,0.8979361057281494
4708,1,True,1,128,128,16,0.9195832014083862
4721,4,True,6,128,128,16,0.8342292904853821
4738,1,True,1,128,128,16,0.9179113507270813
4837,2,True,67,128,128,16,0.7749768495559692
4848,1,True,1,128,128,16,0.9152055978775024
4958,1,True,1,128,128,16,0.8675130009651184
5022,1,True,1,128,128,16,0.9208826422691345
5055,2,True,4,128,128,7,0.9177817702293396
5075,1,True,1,128,128,16,0.9197996854782104
5096,55,True,69,128,128,16,0.6848115921020508
5143,1,True,1,128,128,16,0.9182615280151367
5146,1,True,1,128,128,16,0.9204282760620117
5156,52,True,85,128,128,16,0.6770268678665161
5280,2,True,59,128,128,16,0.9149325489997864
5316,2,True,2,128,128,16,0.847891628742218
5358,2,True,21,128,128,16,0.9109854102134705
5361,1,True,1,128,128,16,0.9184173941612244
5413,2,True,2,128,128,10,0.7730345726013184
5453,41,True,63,128,128,16,0.6408014297485352
5467,2,True,66,128,128,16,0.8530015349388123
5482,3,True,53,128,128,15,0.7626523375511169
5487,2,True,2,128,128,16,0.9014037847518921
5558,1,True,1,128,128,16,0.9199462532997131
5595,2,True,46,128,128,14,0.9075050950050354
5626,1,True,1,128,128,16,0.8969980478286743
5627,1,True,1,128,128,16,0.9208518266677856
5669,1,True,1,128,128,16,0.9151657819747925
5674,57,True,79,128,128,16,0.8194581866264343
5690,1,True,1,128,128,16,0.920257568359375
5722,1,True,1,128,128,16,0.9206768274307251
5727,2,True,35,128,128,16,0.9057857990264893
5803,1,True,1,128,128,16,0.9202702045440674
5943,2,True,78,128,128,16,0.8740085363388062
5974,2,True,31,128,128,16,0.9160993099212646
5985,5,True,72,128,128,16,0.8792496919631958
6010,1,True,1,128,128,16,0.9196280837059021
6298,1,True,1,128,128,16,0.8252349495887756
6311,1,True,1,128,128,16,0.9131711721420288
6377,1,True,1,128,128,16,0.8831577301025391
6398,2,True,61,128,128,14,0.8784404993057251
6400,1,True,1,128,128,11,0.9178404808044434
6424,1,True,1,128,128,7,0.9183999300003052
6492,1,True,1,128,128,16,0.9206488132476807
6527,1,True,1,128,128,16,0.9211092591285706
6554,2,True,46,128,128,16,0.9119242429733276
6583,1,True,1,128,128,16,0.9195734262466431
6587,2,True,58,128,128,16,0.9079052209854126
6609,3,True,3,128,128,16,0.8652888536453247
6621,67,True,92,128,128,16,0.9205080270767212
6699,3,True,35,128,128,12,0.826022207736969
6739,1,True,1,128,128,16,0.9185054302215576
6752,1,True,1,128,128,12,0.9172123670578003
6759,3,True,83,128,128,9,0.8463789224624634
6765,1,True,1,128,128,16,0.9206939339637756
6770,5,True,50,128,128,16,0.722407341003418
6775,2,True,2,128,128,16,0.9173230528831482
6788,1,True,1,128,128,16,0.9145108461380005
6807,5,True,8,128,128,16,0.7076401114463806
6809,1,True,1,128,128,14,0.9206132292747498
6838,5,True,75,128,128,16,0.8027834892272949
6883,1,True,1,128,128,16,0.9196937680244446
6893,46,True,67,128,128,16,0.6007663011550903
6897,6,True,84,128,128,16,0.8049675226211548
6918,61,True,84,128,128,16,0.9034833312034607
6951,1,True,1,128,128,15,0.9199236035346985
6952,1,True,1,128,128,16,0.9209760427474976
6981,1,True,1,128,128,16,0.9202711582183838
7064,1,True,1,128,128,16,0.9203700423240662
7075,1,True,1,128,128,16,0.9173179864883423
7097,4,True,83,128,128,14,0.901193380355835
7146,1,True,1,128,128,16,0.9128577709197998
7222,60,True,95,128,128,16,0.9015864729881287
7232,1,True,1,128,128,16,0.9206913709640503
7286,2,True,2,128,128,11,0.8554337620735168
7295,61,True,86,128,128,16,0.9162461161613464
7309,22,True,32,128,128,16,0.7786000370979309
7354,2,True,59,128,128,16,0.8991086483001709
7398,1,True,1,128,128,16,0.9196886420249939
7404,3,True,57,128,128,16,0.9071622490882874
7449,1,True,1,128,128,16,0.9197395443916321
7470,3,True,3,128,128,16,0.8250484466552734
7500,2,True,3,128,128,16,0.916645348072052
7548,1,True,1,128,128,16,0.9193064570426941
7616,2,True,79,128,128,16,0.9156895875930786
7626,59,True,83,128,128,16,0.9199984073638916
7716,2,True,11,128,128,16,0.916732668876648
7788,6,True,22,128,128,15,0.8554656505584717
7799,1,True,1,128,128,7,0.9190088510513306
7808,1,True,1,128,128,12,0.9204239249229431
7879,2,True,7,128,128,16,0.9169819951057434
7890,1,True,1,128,128,16,0.9206958413124084
7993,2,True,96,128,128,9,0.6947948336601257
8011,9,True,49,128,128,8,0.7438358664512634
8024,2,True,2,128,128,7,0.8968343734741211
8049,1,True,1,128,128,16,0.9206002950668335
8060,2,True,35,128,128,16,0.891218364238739
8140,2,True,82,128,128,15,0.9133230447769165
8152,2,True,21,128,128,15,0.8878406286239624
8247,2,True,34,128,128,13,0.881531834602356
8266,1,True,1,128,128,16,0.9102853536605835
8288,2,True,36,128,128,12,0.9228493571281433
8356,10,True,17,128,128,16,0.7666728496551514
8406,1,True,1,128,128,15,0.9204641580581665
8431,8,True,27,128,128,16,0.799645721912384
8432,42,True,56,128,128,16,0.5914505124092102
8473,3,True,3,128,128,16,0.8263169527053833
8481,2,True,2,128,128,14,0.903161346912384
8486,1,True,1,128,128,16,0.9211814403533936
8501,2,True,63,128,128,6,0.9053786993026733
8538,51,True,59,128,128,16,0.5914333462715149
8582,1,True,1,128,128,16,0.9193899035453796
8589,1,True,1,128,128,16,0.9194678664207458
8590,1,True,1,128,128,16,0.9168014526367188
8647,1,True,1,128,128,16,0.9186262488365173
8720,2,True,63,128,128,16,0.8881498575210571
8750,1,True,1,128,128,16,0.908231794834137
8911,4,True,22,128,128,2,0.7831390500068665
8943,8,True,33,128,128,16,0.7772089242935181
9019,2,True,2,128,128,11,0.8639318346977234
9026,49,True,88,128,128,16,0.662159264087677
9033,1,True,1,128,128,16,0.9111819863319397
9055,5,True,26,128,128,5,0.6813366413116455
9088,61,True,84,128,128,16,0.8473713397979736
9127,30,True,45,128,128,16,0.7114641666412354
9138,62,True,89,128,128,16,0.9195144176483154
9156,63,True,86,128,128,16,0.9196334481239319
9169,62,True,88,128,128,16,0.8652485013008118
9202,1,True,1,128,128,16,0.9173824191093445
9216,61,True,89,128,128,16,0.9055407047271729
9268,2,True,62,128,128,16,0.9169161915779114
9272,2,True,38,128,128,16,0.9191179275512695
9284,3,True,3,128,128,16,0.8071889281272888
9331,66,True,88,128,128,16,0.9200893640518188
9356,1,True,1,128,128,16,0.9198909401893616
9361,1,True,1,128,128,16,0.9157664775848389
9362,1,True,1,128,128,14,0.9205825924873352
9378,1,True,1,128,128,16,0.9198335409164429
9438,1,True,1,128,128,16,0.8652483224868774
9524,3,True,3,128,128,16,0.8279873132705688
9577,1,True,1,128,128,13,0.9122023582458496
9579,60,True,83,128,128,16,0.9136130213737488
9589,27,True,31,128,128,16,0.6325978636741638
9627,1,True,1,128,128,12,0.9184256196022034
9634,5,True,5,128,128,16,0.8282101154327393
9686,1,True,1,128,128,7,0.9208820462226868
9689,3,True,50,128,128,16,0.9144172072410583
9707,1,True,1,128,128,13,0.9167909026145935
9718,1,True,1,128,128,8,0.9151495099067688
9745,1,True,1,128,128,13,0.9140622615814209
9804,2,True,37,128,128,16,0.9199296236038208
9809,2,True,33,128,128,15,0.8701582551002502
9813,6,True,23,128,128,16,0.8492408394813538
9835,2,True,2,128,128,14,0.9165433049201965
9883,19,True,24,128,128,16,0.672420859336853
9884,1,True,1,128,128,7,0.9057008028030396
9930,3,True,3,128,128,11,0.8957276344299316
9938,2,True,90,128,128,14,0.9088023900985718
9939,6,True,7,128,128,16,0.7492874264717102
9959,65,True,89,128,128,16,0.9164879322052002
10042,1,True,1,128,128,15,0.9202043414115906
10047,5,True,44,128,128,5,0.8420032262802124
10111,1,True,1,128,128,16,0.9192542433738708
10135,2,True,24,128,128,16,0.9219175577163696
10172,2,True,30,128,128,12,0.916853666305542
10187,3,True,43,128,128,16,0.8614908456802368
10197,8,True,15,128,128,8,0.7845308780670166
10202,15,True,18,128,128,16,0.742684006690979
10316,2,True,91,128,128,13,0.9208576083183289
10360,1,True,1,128,128,11,0.917955756187439
10412,1,True,1,128,128,16,0.8791097402572632
10488,2,True,36,128,128,16,0.9215989112854004
10512,11,True,21,128,128,16,0.7596933841705322
10513,1,True,1,128,128,4,0.8403151035308838
10548,1,True,1,128,128,7,0.9209468960762024
10551,2,True,67,128,128,4,0.9000909924507141
10574,1,True,1,128,128,13,0.9207068681716919
10627,1,True,1,128,128,11,0.9202679395675659
10630,6,True,43,128,128,16,0.8032245635986328
10716,1,True,1,128,128,8,0.9206317067146301
10725,2,True,55,128,128,7,0.8883955478668213
10738,2,True,21,128,128,16,0.9024392366409302
10801,64,True,86,128,128,16,0.9182648062705994
10819,2,True,76,128,128,9,0.8302296996116638
10880,2,True,3,128,128,14,0.9157207608222961
10893,59,True,81,128,128,16,0.7878962159156799
10913,12,True,21,128,128,11,0.7467360496520996
10929,2,True,2,128,128,16,0.914535403251648
10934,1,True,1,128,128,11,0.9195810556411743
10938,4,True,55,128,128,16,0.8452113270759583
10941,59,True,81,128,128,1,0.610706627368927
10943,57,True,91,128,128,16,0.7013847231864929
10964,33,True,59,128,128,16,0.627778172492981
10971,2,True,52,128,128,16,0.9212669134140015
11031,1,True,1,128,128,16,0.9205025434494019
11067,40,True,56,128,128,9,0.5427939295768738
11071,2,True,30,128,128,16,0.8808965086936951
11140,40,True,65,128,128,16,0.5876178741455078
11156,1,True,1,128,128,16,0.9195026159286499
11184,1,True,1,128,128,16,0.919840931892395
11235,4,True,70,128,128,13,0.9130970239639282
11267,64,True,93,128,128,16,0.9202125072479248
11277,5,True,44,128,128,11,0.7521166801452637
11283,1,True,1,128,128,16,0.9207297563552856
11287,1,True,1,128,128,15,0.9197753667831421
11291,1,True,1,128,128,13,0.9205369353294373
11304,3,True,4,128,128,15,0.884319007396698
11317,2,True,22,128,128,14,0.9124632477760315
11343,1,True,1,128,128,7,0.9194900989532471
11379,3,True,63,128,128,10,0.7653011083602905
11411,2,True,2,128,128,12,0.9205442070960999
11452,5,True,18,128,128,6,0.8498957753181458
11530,2,True,57,128,128,16,0.8512042164802551
11583,2,True,66,128,128,6,0.8843114376068115
11586,2,True,5,128,128,12,0.9203497767448425
11592,2,True,65,128,128,16,0.9188469052314758
11605,1,True,1,128,128,16,0.9199498891830444
11631,1,True,1,128,128,12,0.9187101721763611
11632,3,True,3,128,128,16,0.9085299372673035
11688,2,True,19,128,128,16,0.9015552997589111
11711,63,True,92,128,128,16,0.9040066003799438
11715,2,True,67,128,128,12,0.919903039932251
11724,2,True,57,128,128,16,0.8470144271850586
11780,2,True,4,128,128,14,0.9020833969116211
11789,2,True,2,128,128,16,0.9123249053955078
11830,1,True,1,128,128,16,0.9170129299163818
11836,2,True,37,128,128,8,0.9162281155586243
11838,4,True,24,128,128,14,0.8210138082504272
11846,3,True,3,128,128,16,0.9130655527114868
11881,36,True,63,128,128,16,0.6062871813774109
11925,1,True,1,128,128,16,0.9188836216926575
11946,9,True,44,128,128,16,0.7679030895233154
12194,1,True,1,128,128,16,0.9208202958106995
12261,1,True,1,128,128,16,0.9197272658348083
12383,1,True,1,128,128,16,0.8607578277587891
12457,2,True,42,128,128,16,0.9220824837684631
12458,62,True,88,128,128,16,0.916957437992096
12521,2,True,46,128,128,16,0.9212231636047363
12543,2,True,6,128,128,7,0.9162487983703613
12557,31,True,65,128,128,2,0.5805070400238037
12590,2,True,44,128,128,14,0.8077239990234375
12591,2,True,3,128,128,9,0.9031751155853271
12592,3,True,3,128,128,16,0.8806848526000977
12670,2,True,36,128,128,16,0.8429746627807617
12678,2,True,66,128,128,15,0.9129133224487305
12713,4,True,10,128,128,16,0.8082159161567688
12856,1,True,1,128,128,15,0.9202837347984314
12858,2,True,2,128,128,16,0.9207354187965393
12861,2,True,2,128,128,13,0.9140505194664001
12910,1,True,1,128,128,16,0.9207301735877991
12935,37,True,57,128,128,16,0.6152815818786621
12943,1,True,1,128,128,16,0.9189631938934326
12949,1,True,1,128,128,16,0.9193464517593384
13027,59,True,91,128,128,16,0.914688229560852
13031,1,True,1,128,128,16,0.9200141429901123
13042,1,True,1,128,128,16,0.9204516410827637
13063,1,True,1,128,128,7,0.9209977984428406
13064,1,True,1,128,128,15,0.9204869270324707
13077,1,True,1,128,128,16,0.9198615550994873
13083,2,True,2,128,128,6,0.7916468977928162
13102,2,True,25,128,128,9,0.9135850667953491
13138,1,True,1,128,128,16,0.9188418984413147
13157,1,True,1,128,128,10,0.9203938245773315
13171,1,True,1,128,128,16,0.8438736796379089
13276,2,True,55,128,128,4,0.7350799441337585
13324,1,True,1,128,128,16,0.920400857925415
13354,1,True,1,128,128,15,0.9207640886306763
13392,1,True,1,128,128,14,0.9177802801132202
13399,2,True,50,128,128,16,0.9080204367637634
13406,1,True,1,128,128,16,0.9072058796882629
13424,2,True,72,128,128,16,0.8918871283531189
13427,2,True,3,128,128,11,0.9182473421096802
13465,7,True,13,128,128,16,0.7718116641044617
13488,1,True,1,128,128,16,0.9206492304801941
13493,59,True,85,128,128,16,0.9206061363220215
13499,2,True,38,128,128,16,0.8345637321472168
13519,2,True,2,128,128,9,0.8180639147758484
13535,1,True,1,128,128,16,0.9204683303833008
13538,1,True,1,128,128,16,0.9057841897010803
13567,4,True,62,128,128,16,0.8822242617607117
13570,1,True,1,128,128,16,0.9204865097999573
13588,1,True,1,128,128,16,0.9177881479263306
13749,1,True,1,128,128,16,0.9198675155639648
13804,3,True,3,128,128,6,0.8992034196853638
13915,1,True,1,128,128,16,0.8861453533172607
14102,2,True,2,128,128,16,0.9066014289855957
14127,1,True,1,128,128,16,0.9206936359405518
14159,1,True,1,128,128,16,0.9199146628379822
14174,14,True,41,128,128,6,0.6834819316864014
14219,1,True,1,128,128,16,0.9170388579368591
14326,2,True,4,128,128,12,0.9168212413787842
14339,63,True,87,128,128,16,0.6958853602409363
14342,2,True,26,128,128,16,0.907188355922699
14356,1,True,1,128,128,16,0.9180231094360352
14435,9,True,12,128,128,16,0.7503446936607361
14455,1,True,1,128,128,16,0.9188754558563232
14495,2,True,58,128,128,16,0.9134727120399475
14535,49,True,67,128,128,16,0.6412251591682434
14596,1,True,1,128,128,16,0.9179595708847046
14651,2,True,2,128,128,16,0.9194859862327576
14661,4,True,53,128,128,16,0.8312013149261475
14697,1,True,1,128,128,16,0.9175542593002319
14825,1,True,1,128,128,16,0.904574990272522
14843,1,True,1,128,128,16,0.9171972870826721
14887,2,True,5,128,128,16,0.9202035665512085
14934,60,True,83,128,128,16,0.8049174547195435
15012,59,True,96,128,128,16,0.9197662472724915
15038,2,True,2,128,128,16,0.9203245639801025
15060,1,True,1,128,128,14,0.9194849729537964
15063,3,True,50,128,128,16,0.89764004945755
15115,1,True,1,128,128,6,0.9175766110420227
15149,2,True,45,128,128,11,0.8296685218811035
15165,1,True,1,128,128,9,0.9202470183372498
15192,2,True,36,128,128,13,0.9216174483299255
15195,2,True,2,128,128,16,0.9206730127334595
15211,2,True,62,128,128,16,0.915278434753418
15353,1,True,1,128,128,16,0.9186002016067505
15438,49,True,70,128,128,16,0.630934476852417
15469,2,True,2,128,128,16,0.9126402139663696
15499,64,True,87,128,128,16,0.7118930816650391
15524,2,True,4,128,128,16,0.9126520156860352
15531,1,True,1,128,128,16,0.9201494455337524
15565,1,True,1,128,128,16,0.9175785779953003
15578,4,True,59,128,128,11,0.8819399476051331
15598,1,True,1,128,128,7,0.9194800853729248
15670,1,True,1,128,128,16,0.8186017870903015
15685,55,True,88,128,128,16,0.735497772693634
15701,2,True,11,128,128,8,0.9178295135498047
15775,1,True,1,128,128,16,0.9204568862915039
15788,1,True,1,128,128,16,0.9115921258926392
15930,2,True,57,128,128,16,0.9200236201286316
15969,1,True,1,128,128,16,0.92070072889328
15973,1,True,1,128,128,16,0.9174195528030396
16040,1,True,1,128,128,9,0.9196019172668457
16075,1,True,1,128,128,13,0.9212154150009155
16111,65,True,86,128,128,16,0.5697078108787537
16154,17,True,46,128,128,16,0.6914809942245483
16155,2,True,51,128,128,12,0.913174569606781
16171,60,True,92,128,128,16,0.919180154800415
16220,5,True,71,128,128,4,0.876609742641449
16253,4,True,4,128,128,10,0.7942185997962952
16276,1,True,1,128,128,14,0.9203973412513733
16333,62,True,76,128,128,16,0.6205917596817017
16346,1,True,1,128,128,16,0.9170089364051819
16468,11,True,27,128,128,4,0.7990226745605469
16496,2,True,87,128,128,16,0.9189555644989014
16499,1,True,1,128,128,16,0.9207375645637512
16505,4,True,13,128,128,2,0.868456244468689
16614,61,True,86,128,128,16,0.8509278297424316
16627,60,True,77,128,128,16,0.9172751307487488
16653,5,True,26,128,128,10,0.876724898815155
16656,61,True,84,128,128,16,0.8073002099990845
16660,10,True,22,128,128,4,0.7868984937667847
16683,2,True,39,128,128,7,0.9200718402862549
16744,34,True,38,128,128,16,0.5866454839706421
16802,3,True,8,128,128,3,0.8451055288314819
16820,2,True,75,128,128,16,0.9134305119514465
16829,5,True,58,128,128,3,0.7786662578582764
16893,1,True,1,128,128,16,0.86225825548172
16896,2,True,34,128,128,16,0.884181797504425
16934,2,True,12,128,128,16,0.9187708497047424
17009,35,True,68,128,128,16,0.6341552138328552
17018,2,True,26,128,128,16,0.9156004786491394
17019,1,True,1,128,128,16,0.9004617929458618
17117,4,True,15,128,128,16,0.8682198524475098
17155,3,True,67,128,128,5,0.8032588958740234
17184,2,True,2,128,128,16,0.7175424695014954
17192,63,True,92,128,128,16,0.8469176888465881
17224,14,True,24,128,128,16,0.8025919795036316
17253,59,True,71,128,128,16,0.688532292842865
17267,7,True,61,128,128,16,0.8233630657196045
17285,2,True,94,128,128,16,0.9156309962272644
17329,1,True,1,128,128,16,0.9168479442596436
17349,1,True,1,128,128,16,0.9163033366203308
17357,2,True,7,128,128,16,0.8996167778968811
17415,2,True,61,128,128,16,0.918874979019165
17482,2,True,2,128,128,16,0.9202454686164856
17484,2,True,2,128,128,16,0.879340410232544
17495,3,True,4,128,128,5,0.9123270511627197
17508,2,True,11,128,128,16,0.9121031761169434
17569,1,True,1,128,128,9,0.9088810086250305
17575,64,True,83,128,128,16,0.8971139192581177
17576,1,True,1,128,128,16,0.9198141098022461
17580,1,True,1,128,128,5,0.919963002204895
17603,2,True,81,128,128,16,0.8303779363632202
17665,4,True,20,128,128,14,0.8815630078315735
17691,47,True,60,128,128,16,0.6369027495384216
17785,1,True,1,128,128,10,0.9218853712081909
17792,3,True,3,128,128,16,0.9097939133644104
17869,10,True,37,128,128,16,0.736039400100708
17890,2,True,60,128,128,12,0.9125835299491882
17936,1,True,1,128,128,8,0.9148180484771729
18011,1,True,1,128,128,16,0.8478395342826843
18027,2,True,11,128,128,12,0.9161104559898376
18031,2,True,85,128,128,16,0.8770626187324524
18138,4,True,25,128,128,8,0.8035341501235962
18148,2,True,35,128,128,9,0.8966153860092163
18152,1,True,1,128,128,16,0.9203264713287354
18174,2,True,2,128,128,16,0.9066337943077087
18201,1,True,1,128,128,16,0.9048905372619629
18214,57,True,79,128,128,16,0.7713282704353333
18216,1,True,1,128,128,16,0.9198088645935059
18236,1,True,1,128,128,16,0.9203571081161499
18261,2,True,32,128,128,8,0.914094865322113
18269,4,True,30,128,128,6,0.8511847257614136
18331,2,True,83,128,128,16,0.9184273481369019
18334,1,True,1,128,128,16,0.8811543583869934
18372,1,True,1,128,128,16,0.8317957520484924
18377,2,True,82,128,128,11,0.9172632694244385
18432,1,True,1,128,128,16,0.9210106134414673
18446,7,True,24,128,128,16,0.8050652742385864
18448,2,True,2,128,128,8,0.8653165102005005
18484,2,True,94,128,128,16,0.8676135540008545
18515,3,True,33,128,128,16,0.8548433780670166
18549,1,True,1,128,128,5,0.8817800283432007
18585,1,True,1,128,128,16,0.9177436828613281
18591,2,True,56,128,128,12,0.8899945020675659
18599,1,True,1,128,128,16,0.9208662509918213
18635,2,True,2,128,128,6,0.9180949926376343
