cluster_size,total,correct,failed,success_rate_pct
1,20,16,4,80.0
2,12,12,0,100.0
3,16,16,0,100.0
4,19,19,0,100.0
5,33,33,0,100.0
6,54,54,0,100.0
7,87,87,0,100.0
8,132,132,0,100.0
9,226,226,0,100.0
10,346,346,0,100.0
11,509,509,0,100.0
12,713,713,0,100.0
13,927,927,0,100.0
14,1223,1223,0,100.0
15,1504,1504,0,100.0
16,1830,1830,0,100.0
17,2305,2305,0,100.0
18,2665,2665,0,100.0
19,3100,3100,0,100.0
20,3452,3452,0,100.0
21,3819,3818,1,99.97381513485205
22,4224,4224,0,100.0
23,4505,4505,0,100.0
24,4745,4745,0,100.0
25,4880,4879,1,99.97950819672131
26,4934,4934,0,100.0
27,4995,4995,0,100.0
28,5006,5006,0,100.0
29,4915,4915,0,100.0
30,4578,4578,0,100.0
31,4416,4416,0,100.0
32,4097,4097,0,100.0
33,4020,4020,0,100.0
34,3646,3646,0,100.0
35,3491,3491,0,100.0
36,3094,3094,0,100.0
37,2854,2854,0,100.0
38,2550,2550,0,100.0
39,2274,2274,0,100.0
40,1900,1900,0,100.0
41,1721,1721,0,100.0
42,1625,1625,0,100.0
43,1356,1356,0,100.0
44,1149,1149,0,100.0
45,1011,1011,0,100.0
46,836,836,0,100.0
47,720,720,0,100.0
48,623,623,0,100.0
49,505,505,0,100.0
50,393,393,0,100.0
51,321,321,0,100.0
52,276,276,0,100.0
53,232,232,0,100.0
54,201,201,0,100.0
55,159,159,0,100.0
56,132,132,0,100.0
57,109,109,0,100.0
58,91,91,0,100.0
59,68,68,0,100.0
60,56,56,0,100.0
61,38,38,0,100.0
62,43,43,0,100.0
63,37,37,0,100.0
64,19,19,0,100.0
65,17,17,0,100.0
66,15,15,0,100.0
67,13,13,0,100.0
68,10,10,0,100.0
69,13,13,0,100.0
70,11,11,0,100.0
71,8,8,0,100.0
72,2,2,0,100.0
73,3,3,0,100.0
74,1,1,0,100.0
75,4,4,0,100.0
76,2,2,0,100.0
77,4,4,0,100.0
78,1,1,0,100.0
80,1,1,0,100.0
81,1,1,0,100.0
84,1,1,0,100.0
