position,errors,total,error_rate,avg_entropy
0,0,109944,0.0,0.4210720504237984
1,0,109944,0.0,0.4243459166384399
2,0,109944,0.0,0.42616301340944235
3,0,109944,0.0,0.42712187668251556
4,0,109944,0.0,0.4279411797266244
5,0,109944,0.0,0.42752274065827045
6,0,109944,0.0,0.42752175810570314
7,0,109944,0.0,0.42761631244008114
8,0,109944,0.0,0.4276177915494762
9,0,109944,0.0,0.42772998797367
10,0,109944,0.0,0.42771964375384247
11,0,109944,0.0,0.42768922023529926
12,0,109944,0.0,0.4277132171298543
13,0,109944,0.0,0.4276687689510455
14,0,109944,0.0,0.4276255026455899
15,0,109944,0.0,0.42770496283908654
16,0,109944,0.0,0.42772925322053906
17,0,109944,0.0,0.4277292777492296
18,0,109944,0.0,0.42766021004006705
19,0,109944,0.0,0.4277719763928731
20,0,109944,0.0,0.4276746520212143
21,0,109944,0.0,0.42767374910468975
22,1,109944,9.095539547405952e-06,0.42756632943269357
23,0,109944,0.0,0.42762979235328513
24,0,109944,0.0,0.4276183878211816
25,0,109944,0.0,0.42759225925712974
26,1,109944,9.095539547405952e-06,0.4277101568931911
27,0,109944,0.0,0.4276219553847544
28,1,109944,9.095539547405952e-06,0.4276082592962858
29,0,109944,0.0,0.427667043214313
30,2,109944,1.8191079094811903e-05,0.4276284063208496
31,1,109944,9.095539547405952e-06,0.4276506220403456
32,0,109944,0.0,0.4275920669307166
33,1,109944,9.095539547405952e-06,0.42763182696518587
34,0,109944,0.0,0.4276238983902406
35,0,109944,0.0,0.4276714378571173
36,0,109944,0.0,0.42760213045725254
37,0,109944,0.0,0.4275551922556997
38,0,109944,0.0,0.42753163128625027
39,0,109944,0.0,0.42748699959453984
40,0,109944,0.0,0.4275177717290183
41,1,109944,9.095539547405952e-06,0.4275239641077934
42,0,109944,0.0,0.42751157826569924
43,1,109944,9.095539547405952e-06,0.4275527309157664
44,0,109944,0.0,0.4274898563362379
45,0,109944,0.0,0.4275586466558881
46,0,109944,0.0,0.4274606612901114
47,0,109944,0.0,0.42756041469931916
48,0,109944,0.0,0.4275078632597284
49,0,109944,0.0,0.42752119508159697
50,0,109944,0.0,0.4276293539395024
51,1,109944,9.095539547405952e-06,0.4274639369837085
52,0,109944,0.0,0.4275199843381249
53,0,109944,0.0,0.4275874317550012
54,1,109944,9.095539547405952e-06,0.4275421543883213
55,0,109944,0.0,0.4275002842537941
56,0,109944,0.0,0.4274752591945676
57,0,109944,0.0,0.42745541207389887
58,0,109944,0.0,0.42747140790905824
59,0,109944,0.0,0.42743382499138055
60,0,109944,0.0,0.4274694509145553
61,0,109944,0.0,0.4274525723382066
62,1,109944,9.095539547405952e-06,0.4273376465860256
63,0,109944,0.0,0.427493218908549
64,0,109944,0.0,0.42749793352324056
65,0,109944,0.0,0.4275577946096487
66,0,109944,0.0,0.4273376433402549
67,1,109944,9.095539547405952e-06,0.4275490160952062
68,0,109944,0.0,0.4274650223903943
69,0,109944,0.0,0.42751725197959517
70,0,109944,0.0,0.4275204099924563
71,0,109944,0.0,0.42750861667861567
72,0,109944,0.0,0.42748906504749634
73,1,109944,9.095539547405952e-06,0.4275471892657563
74,2,109944,1.8191079094811903e-05,0.4275026781809631
75,0,109944,0.0,0.42747607762591033
76,1,109944,9.095539547405952e-06,0.42754573178028493
77,0,109944,0.0,0.4274524283375615
