cluster_size,total,correct,failed,success_rate_pct
1,2,2,0,100.0
3,1,1,0,100.0
4,1,1,0,100.0
12,1,1,0,100.0
17,1,1,0,100.0
18,1,1,0,100.0
20,1,1,0,100.0
21,1,1,0,100.0
23,2,2,0,100.0
24,3,3,0,100.0
25,6,6,0,100.0
26,1,1,0,100.0
27,5,5,0,100.0
28,1,1,0,100.0
29,1,1,0,100.0
30,6,6,0,100.0
31,4,4,0,100.0
32,9,9,0,100.0
33,8,8,0,100.0
34,5,5,0,100.0
35,9,9,0,100.0
36,7,7,0,100.0
37,9,9,0,100.0
38,9,9,0,100.0
39,9,9,0,100.0
40,8,8,0,100.0
41,24,24,0,100.0
42,18,18,0,100.0
43,29,29,0,100.0
44,29,29,0,100.0
45,15,15,0,100.0
46,29,29,0,100.0
47,28,28,0,100.0
48,40,40,0,100.0
49,33,33,0,100.0
50,37,37,0,100.0
51,52,52,0,100.0
52,39,39,0,100.0
53,46,46,0,100.0
54,54,54,0,100.0
55,65,65,0,100.0
56,62,62,0,100.0
57,62,62,0,100.0
58,68,68,0,100.0
59,76,76,0,100.0
60,76,76,0,100.0
61,71,71,0,100.0
62,85,85,0,100.0
63,99,99,0,100.0
64,78,78,0,100.0
65,102,102,0,100.0
66,97,97,0,100.0
67,114,114,0,100.0
68,120,120,0,100.0
69,115,115,0,100.0
70,123,123,0,100.0
71,141,141,0,100.0
72,141,141,0,100.0
73,152,152,0,100.0
74,139,139,0,100.0
75,156,156,0,100.0
76,177,177,0,100.0
77,164,164,0,100.0
78,162,162,0,100.0
79,205,205,0,100.0
80,169,169,0,100.0
81,163,163,0,100.0
82,239,239,0,100.0
83,176,175,1,99.43181818181817
84,189,189,0,100.0
85,191,191,0,100.0
86,235,235,0,100.0
87,239,239,0,100.0
88,205,205,0,100.0
89,234,234,0,100.0
90,237,237,0,100.0
91,271,271,0,100.0
92,266,266,0,100.0
93,224,224,0,100.0
94,284,284,0,100.0
95,227,227,0,100.0
96,261,261,0,100.0
97,246,246,0,100.0
98,282,282,0,100.0
99,279,279,0,100.0
100,295,295,0,100.0
101,313,313,0,100.0
102,311,311,0,100.0
103,335,335,0,100.0
104,314,314,0,100.0
105,327,327,0,100.0
106,297,296,1,99.66329966329967
107,323,323,0,100.0
108,332,332,0,100.0
109,338,338,0,100.0
110,366,366,0,100.0
111,351,351,0,100.0
112,347,347,0,100.0
113,367,367,0,100.0
114,360,360,0,100.0
115,346,346,0,100.0
116,334,334,0,100.0
117,377,377,0,100.0
118,374,374,0,100.0
119,409,409,0,100.0
120,390,390,0,100.0
121,392,392,0,100.0
122,360,360,0,100.0
123,390,390,0,100.0
124,367,366,1,99.72752043596729
125,402,402,0,100.0
126,416,416,0,100.0
127,428,428,0,100.0
128,401,401,0,100.0
129,421,421,0,100.0
130,437,437,0,100.0
131,394,394,0,100.0
132,403,403,0,100.0
133,419,419,0,100.0
134,422,422,0,100.0
135,420,419,1,99.76190476190476
136,467,467,0,100.0
137,420,420,0,100.0
138,416,416,0,100.0
139,438,438,0,100.0
140,433,433,0,100.0
141,434,434,0,100.0
142,418,418,0,100.0
143,408,408,0,100.0
144,406,406,0,100.0
145,448,448,0,100.0
146,441,441,0,100.0
147,436,436,0,100.0
148,399,399,0,100.0
149,425,425,0,100.0
150,472,472,0,100.0
151,443,443,0,100.0
152,465,465,0,100.0
153,451,451,0,100.0
154,460,460,0,100.0
155,457,456,1,99.78118161925602
156,426,426,0,100.0
157,472,471,1,99.78813559322035
158,419,419,0,100.0
159,398,398,0,100.0
160,417,417,0,100.0
161,444,444,0,100.0
162,399,399,0,100.0
163,434,434,0,100.0
164,441,441,0,100.0
165,408,408,0,100.0
166,409,409,0,100.0
167,460,460,0,100.0
168,397,397,0,100.0
169,417,417,0,100.0
170,429,429,0,100.0
171,421,420,1,99.7624703087886
172,413,413,0,100.0
173,403,403,0,100.0
174,463,463,0,100.0
175,427,427,0,100.0
176,393,393,0,100.0
177,403,403,0,100.0
178,405,405,0,100.0
179,396,396,0,100.0
180,389,389,0,100.0
181,353,353,0,100.0
182,414,414,0,100.0
183,409,409,0,100.0
184,407,407,0,100.0
185,401,401,0,100.0
186,376,376,0,100.0
187,398,398,0,100.0
188,354,354,0,100.0
189,392,392,0,100.0
190,381,381,0,100.0
191,384,384,0,100.0
192,374,374,0,100.0
193,387,387,0,100.0
194,397,397,0,100.0
195,361,361,0,100.0
196,342,342,0,100.0
197,364,363,1,99.72527472527473
198,360,359,1,99.72222222222223
199,344,344,0,100.0
200,361,361,0,100.0
201,352,352,0,100.0
202,372,372,0,100.0
203,358,358,0,100.0
204,325,325,0,100.0
205,303,303,0,100.0
206,358,358,0,100.0
207,311,311,0,100.0
208,338,338,0,100.0
209,318,318,0,100.0
210,277,277,0,100.0
211,320,320,0,100.0
212,312,311,1,99.67948717948718
213,279,279,0,100.0
214,277,277,0,100.0
215,343,343,0,100.0
216,272,271,1,99.63235294117648
217,300,300,0,100.0
218,289,289,0,100.0
219,299,299,0,100.0
220,266,266,0,100.0
221,287,287,0,100.0
222,264,264,0,100.0
223,283,283,0,100.0
224,264,264,0,100.0
225,256,256,0,100.0
