idx,edit_dist,len_match,num_sub,pred_len,label_len,cluster_size,confidence
5881,1,True,1,152,152,16,0.9194795489311218
7299,1,True,1,152,152,16,0.9199617505073547
9158,1,True,1,152,152,16,0.9190893769264221
20523,1,True,1,152,152,16,0.9196810722351074
20616,1,True,1,152,152,16,0.9196057319641113
21520,1,True,1,152,152,16,0.9196573495864868
23492,1,True,1,152,152,16,0.9195226430892944
24173,1,True,1,152,152,16,0.9198973774909973
41638,1,True,1,152,152,16,0.9197553396224976
41925,1,True,1,152,152,16,0.9195815920829773
42477,1,True,1,152,152,16,0.9197521209716797
57280,1,True,1,152,152,16,0.9193236827850342
62648,1,True,1,152,152,16,0.9195685386657715
64620,1,True,1,152,152,16,0.9195432066917419
64775,1,True,1,152,152,16,0.9195401072502136
67080,1,True,1,152,152,16,0.9195680022239685
71406,1,True,1,152,152,16,0.9197626709938049
