cluster_size,total,correct,failed,success_rate_pct
1,85,1,84,1.1764705882352942
2,151,5,146,3.3112582781456954
3,214,54,160,25.233644859813083
4,308,145,163,47.07792207792208
5,391,238,153,60.86956521739131
6,470,343,127,72.97872340425532
7,498,410,88,82.32931726907631
8,501,420,81,83.8323353293413
9,546,475,71,86.99633699633699
10,536,484,52,90.29850746268657
11,524,488,36,93.12977099236642
12,471,431,40,91.50743099787687
13,462,430,32,93.07359307359307
14,397,378,19,95.21410579345087
15,373,351,22,94.10187667560321
16,314,306,8,97.45222929936305
17,323,306,17,94.73684210526315
18,252,238,14,94.44444444444444
19,234,217,17,92.73504273504274
20,219,212,7,96.80365296803653
21,226,222,4,98.23008849557522
22,166,160,6,96.3855421686747
23,162,155,7,95.67901234567901
24,157,151,6,96.17834394904459
25,138,132,6,95.65217391304348
26,139,131,8,94.24460431654677
27,106,98,8,92.45283018867924
28,102,94,8,92.15686274509804
29,118,109,9,92.37288135593221
30,105,99,6,94.28571428571428
31,97,92,5,94.84536082474226
32,61,59,2,96.72131147540983
33,82,77,5,93.90243902439023
34,81,78,3,96.29629629629629
35,74,72,2,97.2972972972973
36,61,57,4,93.44262295081968
37,68,62,6,91.17647058823529
38,53,50,3,94.33962264150944
39,54,50,4,92.5925925925926
40,62,61,1,98.38709677419355
41,46,44,2,95.65217391304348
42,29,29,0,100.0
43,47,45,2,95.74468085106383
44,39,38,1,97.43589743589743
45,37,35,2,94.5945945945946
46,29,28,1,96.55172413793103
47,27,27,0,100.0
48,30,29,1,96.66666666666667
49,34,31,3,91.17647058823529
50,20,20,0,100.0
51,18,18,0,100.0
52,15,15,0,100.0
53,19,19,0,100.0
54,19,17,2,89.47368421052632
55,15,15,0,100.0
56,13,13,0,100.0
57,11,10,1,90.9090909090909
58,15,15,0,100.0
59,8,8,0,100.0
60,11,11,0,100.0
61,11,11,0,100.0
62,4,4,0,100.0
63,6,6,0,100.0
64,2,2,0,100.0
65,7,7,0,100.0
66,5,5,0,100.0
67,11,11,0,100.0
68,6,6,0,100.0
69,5,5,0,100.0
70,4,4,0,100.0
71,4,4,0,100.0
72,1,1,0,100.0
73,3,3,0,100.0
74,2,2,0,100.0
75,2,1,1,50.0
76,2,2,0,100.0
77,2,2,0,100.0
78,2,2,0,100.0
80,1,1,0,100.0
81,5,5,0,100.0
82,1,1,0,100.0
83,1,1,0,100.0
86,1,1,0,100.0
90,1,1,0,100.0
96,1,1,0,100.0
108,1,1,0,100.0
