position,errors,total,error_rate,avg_entropy
0,0,109976,0.0,0.4508386830293006
1,0,109976,0.0,0.42670641232244255
2,0,109976,0.0,0.4243318997526755
3,0,109976,0.0,0.4277737109128619
4,0,109976,0.0,0.42457260309890016
5,0,109976,0.0,0.4255800135401155
6,0,109976,0.0,0.42537883090602835
7,0,109976,0.0,0.4257434592821095
8,0,109976,0.0,0.4225741707145162
9,0,109976,0.0,0.4242257260272826
10,0,109976,0.0,0.4275907017613069
11,0,109976,0.0,0.42357434357328877
12,221,109976,0.0020095293518585873,0.4257396200074667
13,215,109976,0.001954971993889576,0.4273082246808665
14,211,109976,0.001918600421910235,0.4259384923168852
15,217,109976,0.0019731577798792464,0.4284969160215802
16,239,109976,0.0021732014257656216,0.42728662889524227
17,244,109976,0.0022186658907397978,0.426643718084162
18,251,109976,0.0022823161417036444,0.42790026560337957
19,250,109976,0.002273223248708809,0.4296650974664084
20,260,109976,0.0023641521786571616,0.42732217319912935
21,261,109976,0.002373245071651997,0.4270223098772282
22,276,109976,0.0025096384665745253,0.4276655790004252
23,298,109976,0.0027096821124609006,0.4275445280790507
24,308,109976,0.002800611042409253,0.4282654068405853
25,292,109976,0.002655124754491889,0.4274301297343184
26,327,109976,0.0029733760093111224,0.427543373648252
27,342,109976,0.003109769404233651,0.4279997840687939
28,341,109976,0.0031006765112388157,0.42783978179497156
29,338,109976,0.00307339783225431,0.42784660088181964
30,371,109976,0.003373463301083873,0.4292256183837742
31,340,109976,0.0030915836182439805,0.4298347172336079
32,353,109976,0.0032097912271768386,0.42812083297427883
33,377,109976,0.0034280206590528843,0.42933424234725204
34,394,109976,0.0035825998399650833,0.4293447845350758
35,384,109976,0.003491670910016731,0.429452335123102
36,375,109976,0.0034098348730632138,0.4288822878137228
37,414,109976,0.003764457699861788,0.4295256158397021
38,422,109976,0.00383720084382047,0.42898692453506776
39,428,109976,0.0038917582017894813,0.4292297612670019
40,432,109976,0.003928129773768822,0.4288197664590461
41,453,109976,0.004119080526660363,0.42934803163679225
42,416,109976,0.0037826434858514585,0.4283461496336916
43,431,109976,0.0039190368807739875,0.42995656722528014
44,458,109976,0.004164544991634538,0.42878276066445536
45,490,109976,0.004455517567469266,0.4288245444353029
46,460,109976,0.004182730777624209,0.4293423228780426
47,489,109976,0.004446424674474431,0.4300344318789383
48,506,109976,0.00460100385538663,0.43109446382439337
49,502,109976,0.004564632283407289,0.43049774466026497
50,503,109976,0.0045737251764021245,0.4291115093271958
51,532,109976,0.004837419073252346,0.4308038947473329
52,530,109976,0.0048192332872626755,0.4312806953992086
53,526,109976,0.0047828617152833345,0.43111306377258735
54,531,109976,0.004828326180257511,0.4308248098207715
55,555,109976,0.005046555612133557,0.4311370020327832
56,539,109976,0.004901069324216193,0.4326818175416058
57,546,109976,0.004964719575180039,0.4309912410218464
58,564,109976,0.0051283916490870735,0.4300679979469071
59,593,109976,0.005392085545937296,0.4305700372725415
60,569,109976,0.00517385611406125,0.43190181530394745
61,571,109976,0.005192041900050921,0.43133735102050225
62,602,109976,0.0054739215828908125,0.43209396783109927
63,586,109976,0.005328435294973449,0.43198673918571195
64,594,109976,0.005401178438932131,0.43274644731276424
65,629,109976,0.005719429693751364,0.4326609677904158
66,613,109976,0.0055739434058340006,0.4319236694762705
67,611,109976,0.00555575761984433,0.4315150899856886
68,656,109976,0.005964937804611915,0.43044690111321543
69,671,109976,0.006101331199534444,0.4317447471280566
70,652,109976,0.005928566232632574,0.43271444969498707
71,650,109976,0.005910380446642904,0.43088089048752976
72,677,109976,0.006155888557503456,0.4309757628677355
73,695,109976,0.00631956063141049,0.43241961002230617
74,684,109976,0.006219538808467302,0.4335167829264092
75,702,109976,0.006383210882374336,0.43257907063994894
76,710,109976,0.006455954026333018,0.4334576863251101
77,724,109976,0.006583254528260711,0.4321249438649053
78,708,109976,0.006437768240343348,0.4330382724722433
79,752,109976,0.006837855532116098,0.432829316688664
80,745,109976,0.006774205281152252,0.4334311216436595
81,716,109976,0.0065105113843020295,0.4321234186304659
82,732,109976,0.006655997672219393,0.433130305942229
83,772,109976,0.007019713392012803,0.43364893931429666
84,727,109976,0.0066105332072452175,0.43370948144475696
85,760,109976,0.00691059867607478,0.43294836843152296
86,782,109976,0.007110642321961155,0.43260932693910603
87,789,109976,0.007174292572925002,0.4333417151930021
88,749,109976,0.006810576853131593,0.43232531857466044
89,766,109976,0.006965156034043791,0.4328492895828825
90,811,109976,0.0073743362188113774,0.43267267811703336
91,783,109976,0.007119735214955991,0.43299905421210827
92,816,109976,0.007419800683785553,0.431761085912569
93,833,109976,0.007574379864697753,0.43133883605936557
94,858,109976,0.007801702189568633,0.43184984988248626
95,804,109976,0.00731068596784753,0.43226325684850664
96,847,109976,0.007701680366625446,0.43259795901048587
97,841,109976,0.0076471230086564345,0.43236283034589185
98,829,109976,0.007538008292718412,0.43292634583797734
99,847,109976,0.007701680366625446,0.4325431209360265
100,832,109976,0.007565286971702917,0.43267080908791755
101,877,109976,0.007974467156470502,0.431218171835156
102,826,109976,0.0075107296137339056,0.43234514642075694
103,873,109976,0.007938095584491161,0.4310020540144549
104,863,109976,0.00784716665454281,0.43180902639782376
105,886,109976,0.00805630319342402,0.43120420142773014
106,810,109976,0.007365243325816542,0.4323365750583773
107,930,109976,0.008456390485196771,0.4314264140035674
108,894,109976,0.008129046337382703,0.43169307962440445
109,867,109976,0.00788353822652215,0.43194822924588433
110,898,109976,0.008165417909362043,0.43305347019142176
111,954,109976,0.008674619917072817,0.4318739035944336
112,919,109976,0.008356368662253583,0.4321830746976343
113,892,109976,0.008110860551393031,0.4322248597101549
114,916,109976,0.008329089983269077,0.431745428149983
115,945,109976,0.008592783880119298,0.4330598052344214
116,884,109976,0.00803811740743435,0.432089550481479
